# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Jun 16 10:28:32 CEST 2020 [seed=1581070566592]
# -beagle_cpu -seed 1581070566592 HBV-D_phylogeography.xml
state	joint	prior	likelihood	location.clock.rate	location.meanRate	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.rates.Americas.Africa	location.rates.EastSouthAsia.Africa	location.rates.Europe.Africa	location.rates.WestCentralAsia.Africa	location.rates.EastSouthAsia.Americas	location.rates.Europe.Americas	location.rates.WestCentralAsia.Americas	location.rates.Europe.EastSouthAsia	location.rates.WestCentralAsia.EastSouthAsia	location.rates.WestCentralAsia.Europe	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.indicators.Americas.Africa	location.indicators.EastSouthAsia.Africa	location.indicators.Europe.Africa	location.indicators.WestCentralAsia.Africa	location.indicators.EastSouthAsia.Americas	location.indicators.Europe.Americas	location.indicators.WestCentralAsia.Americas	location.indicators.Europe.EastSouthAsia	location.indicators.WestCentralAsia.EastSouthAsia	location.indicators.WestCentralAsia.Europe	location.nonZeroRates	location.branchRates	location.treeLikelihood
0	-265340.6523894798	-264106.42472406704	-1234.2276654127659	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20.0	0.0	-1234.2276654127659
10000	-446.2349336502063	-66.5683825864645	-379.6665510637418	1.608085198164832E-4	1.6080851981648366E-4	2.905339843202646	0.9676979261437987	0.3501994875947647	0.3107096955918622	0.1541917422838356	1.6857974391906294	0.38318687569344184	1.2271474590548959	1.2382627767363301	1.6128548093881225	0.8460403478295103	0.6814810377468918	0.2534647686637599	1.1818935387726963	1.103936335250937	2.8182491195737676	2.0877288173268544	1.7400065544752614	3.542711415173174	1.3420724470691594	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0	0.0	-379.6665510637418
20000	-451.5315849474163	-63.765848975040626	-387.7657359723757	1.5217107072592822E-4	1.5217107072592844E-4	3.796399245612137	0.20965284900639297	0.6966943465878388	3.152776717123341	0.3670130078306315	2.4980078082270922	2.1996753040541734	0.23739498612357435	0.82386334490765	0.33407746455917475	0.5699114307753396	1.297510142144092	0.6483267457916377	0.2684447544953298	2.6211986460031875	1.2980857214690902	3.884830999432537	0.5343510505847573	1.4282363384477925	0.9352293895191225	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0	0.0	-387.7657359723757
30000	-458.6899944803637	-63.37299989574552	-395.31699458461816	1.3616697321243884E-4	1.3616697321243884E-4	4.5256447396252275	0.055133149154884174	0.1828451540289575	0.3575610055916729	2.5786141970582275	1.0875775904443448	0.11168457135326695	1.2124346516675713	0.6892422256125156	0.7256053785739066	0.16493700087637395	0.7071494669104754	0.6050835039253798	1.5215016409896716	0.5363379873798703	3.64150246615592	0.34275944571496453	1.446224771591636	3.46759439228225	3.5781212187321976	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0	0.0	-395.31699458461816
40000	-429.6388048713208	-53.1090455073964	-376.5297593639244	1.4283262509871228E-4	1.4283262509871242E-4	2.281340764901462	0.5538491960658456	0.37588444199131543	0.3261252205403526	0.32633072869086654	0.061521104370949785	0.3040846811026159	0.6046119955414339	2.573280976018243	0.8197986066415636	3.131177827816611	0.5856570403864866	0.6263203194959911	0.6972687415769535	1.3764355251509865	1.5942812001824154	0.29586960736152906	1.6424017388318826	2.316142317241542	1.9005757025518062	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0	0.0	-376.5297593639244
50000	-453.43729154150407	-60.814365001019056	-392.622926540485	1.9179793416460993E-4	1.9179793416461045E-4	0.506911583757163	1.1541653962738427	0.13290071466128353	3.278634054868565	0.10010363994016037	0.46889308950073355	0.27708379953006596	0.6012704970462398	0.9212991340405063	0.829654768685651	1.0688933866699255	4.073867059684587	1.9430441611924172	0.6433863376209675	2.867792870810479	0.9563296358708951	0.2817410378005146	1.1977328625994452	1.8682408337375758	0.9475135917336855	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	9.0	0.0	-392.622926540485
60000	-439.48563192440037	-51.29532813822761	-388.19030378617276	1.4678859469158462E-4	1.4678859469158468E-4	0.26524281729723115	2.7586310181546883	0.9320769021797914	0.47002519293386724	0.3196693497630841	0.24390270532904118	3.473346031899611	0.937368009520322	0.09637347986183754	1.41316617450363	0.23814348248581235	0.15246916794560741	0.48684377605836465	0.5860751580070058	0.3802510087806281	1.2943048087406703	1.7927370968195118	0.698121887340115	1.7453971012076963	1.6942246336314706	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0	0.0	-388.19030378617276
70000	-435.3253004431912	-38.07920805414081	-397.24609238905043	1.383653199214426E-4	1.383653199214424E-4	1.838374743527099	0.1991302763491897	0.37469869613367884	1.706913458086522	0.13692843244649466	0.18863889921468635	1.2164613888810143	0.8916425811895361	0.2159314934523435	1.6864427689695767	1.607588816417931	0.9658123769874517	0.2398839126135823	0.8249124407330493	0.4828499720299216	0.8210526552588209	1.085742155973043	0.7203587432082924	3.2290249030384337	1.6813687927230418	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0	0.0	-397.24609238905043
80000	-440.4853701890809	-50.050454109422155	-390.43491607965876	1.7833720402380706E-4	1.78337204023807E-4	0.2532606795117885	0.9795676204965656	1.2691145818705103	0.38175632019253547	2.646171894653266	0.9389008462704572	0.46560115279472175	0.44892596590208905	0.8305397770319586	1.1339003063831812	1.8645685106862806	3.0491885735330566	0.43758881073580536	0.7762577440355999	0.44338826383104823	2.4735097694768546	0.576544231650072	1.2278766151738731	2.377819654039489	2.0255789335664063	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0	0.0	-390.43491607965876
90000	-437.8250099466628	-52.15319265771484	-385.671817288948	1.62700852514361E-4	1.627008525143607E-4	1.4627402504470577	0.26771295339135365	0.07741661993857141	0.725856765697257	0.3206130185965226	0.5473379255172683	3.434226232076289	0.17139419673439635	0.06982718572374923	0.9926362777279311	2.2142349652299074	0.8391834040053966	0.34877312505008506	0.22264222486382246	0.07143348987213756	1.6886627126336986	3.4092945965124994	1.296933215024539	1.1798907609410816	1.2358719066106343	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	9.0	0.0	-385.671817288948
